gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj
LOC115494060,0,0.7687919245204702,0.554,0.249,0
TAC1,0,0.7086239725790167,0.967,0.882,0
LOC115492368,0,-0.8278388747992851,0.074,0.468,0
KCNIP4,1.963120425421225e-287,-0.390768431371209,0.929,0.955,3.421718901509195e-283
ZNF804B,4.829068222448306e-284,0.7629346341429017,0.388,0.115,8.417065911727398e-280
DPP10,1.467518924616363e-279,-0.5532465356358816,0.547,0.796,2.5578854856063208e-275
GRID2,5.461984328649464e-227,-0.4624585054181942,0.647,0.851,9.520238684836016e-223
CEMIP,6.372579197317767e-221,-0.5414033661122578,0.117,0.36,1.1107405540924868e-216
CDH12,6.60004277885604e-206,-0.46764925931894874,0.547,0.786,1.1503874563546078e-201
LDB2,6.248655985652129e-200,0.5763995451579187,0.593,0.365,1.089140738299166e-195
LOC100229124,3.977847413674294e-197,0.36372215380071804,0.918,0.899,6.933388042034294e-193
OXR1,3.812069621319281e-196,0.46684884215440725,0.697,0.503,6.644437349959507e-192
NPTN,2.6375273095534578e-192,0.5259927637950357,0.623,0.462,4.5972101005516767e-188
RYR2,1.6076212283443748e-188,0.36844432826871465,0.944,0.94,2.8020838010042454e-184
SPON1,3.8378121265446756e-177,-0.4722760515193183,0.603,0.795,6.68930653656737e-173
ATP1B1,1.1070750440405004e-171,0.3899181564041654,0.881,0.825,1.929631801762592e-167
PPP2R2C,6.416284852986715e-170,0.3322102231991009,0.943,0.937,1.1183584498755844e-165
CDH17,2.234794049330397e-169,-0.39137519077336835,0.044,0.208,3.895246027982882e-165
GAS2,3.527263583901571e-168,-0.4312449431396878,0.051,0.219,6.148020426740438e-164
LUZP2,4.250741664527877e-168,-0.4651817563289351,0.339,0.59,7.409042721272089e-164
PCDH9,6.725255299694203e-166,-0.300852640618964,0.952,0.978,1.1722119987366997e-161
ND3,9.768665301643464e-166,-0.4529802666184781,0.153,0.373,1.7026783620764557e-161
KCTD16,3.3522288421717814e-165,-0.32173087200370426,0.015,0.147,5.842934871905415e-161
CNTNAP2,5.09325032511503e-165,-0.27822947205610493,0.965,0.975,8.877535316675497e-161
LOC100230912,5.477320316501955e-165,-0.3288425550278269,0.01,0.137,9.546969311662909e-161
LRMP,2.4664441739074954e-158,-0.35321633714427325,0.029,0.172,4.2990121951207645e-154
LOC101233722,4.8452619305328586e-157,-0.42292982751118047,0.263,0.497,8.445291544918773e-153
LOC115497467,1.836456569696086e-156,-0.38921517915010084,0.087,0.268,3.200943800980278e-152
LOC100227087,1.208907541293319e-155,-0.37265392724237884,0.047,0.202,2.1071258444742553e-151
GPC6,4.711829152994644e-155,0.2749002404084062,0.952,0.944,8.212718213669665e-151
ALK,1.802102684462499e-154,0.44076363938147295,0.275,0.094,3.1410649790181355e-150
DCLK3,4.180644437071804e-152,0.5413124915107642,0.516,0.344,7.286863253816153e-148
SYT14,3.5596310042722766e-150,-0.38468739042377065,0.604,0.787,6.204436840446578e-146
KALRN,1.2049587555793028e-144,-0.34975251394104956,0.31,0.554,2.100243110974725e-140
RIMS2,4.483645463125992e-144,-0.21590690674896162,0.959,0.97,7.814994042228605e-140
PLEC,1.1936689606877344e-140,0.49973230079604236,0.439,0.264,2.080564998478721e-136
PCDH15,2.529056642992911e-139,-0.4663338741843075,0.333,0.543,4.408145728736644e-135
KCNK2,5.794037316299557e-138,-0.33433741990563615,0.798,0.883,1.0099007042310129e-133
LOC115495643,1.260897796971288e-137,0.2499868802226719,0.965,0.966,2.1977448601209553e-133
ROBO1,1.3247090778280498e-134,-0.2839395615849005,0.721,0.868,2.308967922654291e-130
NSG1,4.810705993387791e-132,0.2933691132023295,0.926,0.912,8.385060546474919e-128
PIGG,1.817815525633146e-131,-0.33208499687228854,0.626,0.795,3.1684524611785734e-127
ERBB4,1.4839326121915234e-127,-0.30813781107145566,0.396,0.627,2.5864945430498254e-123
RASGEF1A,1.8287790786274337e-126,-0.24880950179383676,0.932,0.956,3.187561934047617e-122
LOC115492033,1.2082213090887426e-125,0.3419429109631563,0.132,0.021,2.1059297417416784e-121
LOC100225836,7.126674619234542e-125,0.3194368988760059,0.857,0.809,1.2421793861325806e-120
NEK3,3.4225944465620764e-124,-0.26466393932044846,0.022,0.136,5.965582120357699e-120
GLIS3,5.336122592397525e-124,-0.36792818862025406,0.084,0.238,9.300861678548886e-120
LOC100220616,2.4671267818062264e-123,-0.3722661120439731,0.326,0.537,4.300201980688253e-119
HS6ST3,3.810552276348027e-123,-0.37991655079140485,0.463,0.667,6.641792617674612e-119
PHACTR1,5.1921307040904345e-123,0.16364917639471166,0.986,0.986,9.049883817229627e-119
OLFM1,3.037442714677874e-122,0.3994801555677332,0.652,0.535,5.294262651683535e-118
RAB36,1.9570404178513498e-112,-0.2563220877057504,0.02,0.123,3.411121448314903e-108
MON2,8.970500515309026e-112,-0.3260883476503076,0.233,0.432,1.5635582398183633e-107
LOC115492487,1.5305589128059838e-111,-0.2779720751168512,0.042,0.164,2.6677641850208297e-107
PCDH11X,1.841354714160502e-110,-0.25252048378586367,0.518,0.722,3.209481266781755e-106
FSTL4,2.963495161261759e-109,0.4055740973612476,0.688,0.603,5.165372066079247e-105
LOC100218477,4.751986415473088e-108,-0.34322034788241007,0.409,0.608,8.282712322169593e-104
SLC6A2,3.9540036772956305e-106,0.42030645235248776,0.172,0.053,6.891828409526284e-102
CHST11,6.488581153646974e-105,-0.36942869637981024,0.268,0.459,1.1309596950806676e-100
SYAP1,6.348173731762036e-104,-0.3383746224131131,0.228,0.412,1.1064866814461228e-99
EML1,2.321360022444791e-103,0.44145361221483337,0.499,0.363,4.046130519121271e-99
RALYL,6.087500041913225e-102,-0.3979894479020256,0.288,0.483,1.0610512573054751e-97
LOC100218614,9.49580743262052e-101,0.33394088081965867,0.753,0.64,1.6551192355057567e-96
