gene,MCX20,MCX21,p_val,avg_logFC,pct.1,pct.2,p_val_adj,status,gene-name,chromosome,genetic-category,gene-score,syndromic,number-of-reports
TBC1D23,0.2141828547521476,0.18285547558750728,0.7357599084585589,0.03132737916464029,0.067,0.069,1,9,TBC1 domain family member 23,3,Syndromic,NA,1,2
EMSY,0.8462816329019838,0.7500650143764437,0.09021775791553382,0.09621661852553998,0.312,0.32,1,9,"EMSY, BRCA2 interacting transcriptional repressor",11,"Rare Single Gene Mutation, Functional",2,0,4
ROBO2,3.0204447739446056,2.9891692652150312,0.11926033495521533,0.03127550872957441,0.894,0.911,1,9,roundabout guidance receptor 2,3,"Rare Single Gene Mutation, Genetic Association, Functional",2,0,8
CADM2,4.152621819511317,4.157082914887633,0.8110496592695651,-0.004461095376315782,0.986,0.986,1,9,Cell adhesion molecule 2,3,Genetic Association,3,0,3
SOD1,0.667171530455142,0.5552927606055024,0.0032315535796727203,0.11187876984963974,0.209,0.199,1,9,superoxide dismutase 1,21,"Genetic Association, Functional",3,0,2
SYNJ1,1.0230390132081058,1.0199114921629997,0.006504164066812452,0.003127521045106052,0.388,0.443,1,9,synaptojanin 1,21,Rare Single Gene Mutation,3,0,1
DRD3,0.010744130192919837,0.009621321375060443,0.8749758555546543,0.0011228088178595365,0.004,0.004,1,9,dopamine receptor D3,3,"Rare Single Gene Mutation, Genetic Association",3,0,8
SLC22A15,0.19779266139440804,0.25063927764493027,2.682487916367796e-10,-0.05284661625052234,0.066,0.098,4.675576438229069e-6,9,"Solute carrier family 22, member 15",1,Genetic Association,3,0,1
ATP1A1,0.2327510172465029,0.10027701770463845,5.874172084621859e-16,0.13247399954186442,0.06,0.031,1.02386819434959e-11,9,ATPase Na+/K+ transporting subunit alpha 1,1,"Rare Single Gene Mutation, Syndromic",3,1,3
FBXO40,0.031466945190640874,0.023722401334542207,0.5400563802673415,0.007744543856098757,0.01,0.009,1,9,F-box protein 40,3,"Rare Single Gene Mutation, Genetic Association",3,0,4
DLG2,3.70437070085067,3.687529356022402,0.01361984487860028,0.016841344828268046,0.985,0.986,1,9,discs large MAGUK scaffold protein 2,11,Rare Single Gene Mutation,2,0,2
GRM5,3.069492639188481,3.2302182356037235,2.3995913687157465e-57,-0.1607255964152423,0.936,0.953,4.182487755671546e-53,9,"Glutamate receptor, metabotropic 5",11,"Rare Single Gene Mutation, Genetic Association, Functional",3,0,6
