term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0005975,"carbohydrate metabolic process",5.260%, 1.189,-1.518,5.829,-2.9352,0.981,0.000,5975,0
GO:0006812,"cation transport",3.242%, 7.650,-1.229,5.619,-7.4047,0.808,0.000,6812,0
GO:0071805,"potassium ion transmembrane transport",0.331%,null,null,4.628,-3.6880,0.683,0.761,6812,1
GO:1902600,"hydrogen ion transmembrane transport",1.015%,null,null,5.115,-2.2536,0.713,0.861,6812,1
GO:0098662,"inorganic cation transmembrane transport",1.858%,null,null,5.377,-7.5105,0.799,0.748,6812,1
GO:0098655,"cation transmembrane transport",2.290%,null,null,5.468,-7.2752,0.799,0.856,6812,1
GO:0098660,"inorganic ion transmembrane transport",2.317%,null,null,5.473,-7.6033,0.805,0.833,6812,1
GO:0030001,"metal ion transport",1.677%,null,null,5.333,-5.6470,0.808,0.822,6812,1
GO:0015672,"monovalent inorganic cation transport",1.824%,null,null,5.369,-6.4414,0.807,0.830,6812,1
GO:0034220,"ion transmembrane transport",3.528%,null,null,5.656,-6.2258,0.805,0.819,6812,1
GO:0007155,"cell adhesion",0.544%, 2.143,-3.523,4.844,-3.6503,0.985,0.000,7155,0
GO:0007156,"homophilic cell adhesion via plasma membrane adhesion molecules",0.095%,null,null,4.087,-2.4438,0.984,0.866,7155,1
GO:0098742,"cell-cell adhesion via plasma-membrane adhesion molecules",0.108%,null,null,4.140,-2.7783,0.984,0.859,7155,1
GO:0007610,"behavior",0.170%, 1.952,-3.165,4.338,-7.2580,0.994,0.000,7610,0
GO:0007626,"locomotory behavior",0.061%, 2.303,-3.836,3.894,-4.9562,0.963,0.000,7626,0
GO:0008542,"visual learning",0.009%,null,null,3.080,-2.7972,0.691,0.890,7626,1
GO:0007632,"visual behavior",0.012%,null,null,3.178,-2.6035,0.706,0.774,7626,1
GO:0007611,"learning or memory",0.047%,null,null,3.778,-4.0000,0.708,0.845,7626,1
GO:0007612,"learning",0.029%,null,null,3.576,-3.2225,0.716,0.954,7626,1
GO:0030534,"adult behavior",0.040%,null,null,3.708,-3.1309,0.731,0.877,7626,1
GO:0008306,"associative learning",0.019%,null,null,3.377,-3.2551,0.722,0.927,7626,1
GO:0022610,"biological adhesion",0.550%, 3.076,-3.047,4.849,-3.5923,0.994,0.000,22610,0
GO:0040007,"growth",0.317%, 1.616,-1.785,4.609,-3.9322,0.994,0.000,40007,0
GO:0042391,"regulation of membrane potential",0.135%, 1.300, 7.783,4.238,-10.2863,0.777,0.000,42391,0
GO:0048699,"generation of neurons",0.366%,-2.206, 2.789,4.671,-15.0959,0.573,0.000,48699,0
GO:0010721,"negative regulation of cell development",0.055%,null,null,3.852,-2.8088,0.592,0.904,48699,1
GO:0007409,"axonogenesis",0.118%,null,null,4.179,-12.0253,0.553,0.970,48699,1
GO:0007411,"axon guidance",0.066%,null,null,3.930,-4.2049,0.503,0.906,48699,1
GO:0008038,"neuron recognition",0.012%,null,null,3.178,-2.5722,0.641,0.742,48699,1
GO:0031345,"negative regulation of cell projection organization",0.030%,null,null,3.578,-2.3332,0.656,0.829,48699,1
GO:0060996,"dendritic spine development",0.013%,null,null,3.229,-2.2619,0.610,0.879,48699,1
GO:0022604,"regulation of cell morphogenesis",0.707%,null,null,4.958,-3.6605,0.550,0.950,48699,1
GO:0016358,"dendrite development",0.049%,null,null,3.800,-4.4972,0.582,0.823,48699,1
GO:0050773,"regulation of dendrite development",0.023%,null,null,3.465,-3.5051,0.520,0.868,48699,1
GO:0050772,"positive regulation of axonogenesis",0.013%,null,null,3.237,-2.6631,0.511,0.885,48699,1
GO:0050771,"negative regulation of axonogenesis",0.009%,null,null,3.051,-2.5370,0.523,0.887,48699,1
GO:0050770,"regulation of axonogenesis",0.033%,null,null,3.625,-6.1191,0.506,0.798,48699,1
GO:0050769,"positive regulation of neurogenesis",0.073%,null,null,3.973,-2.2534,0.503,0.924,48699,1
GO:0050768,"negative regulation of neurogenesis",0.046%,null,null,3.775,-2.5764,0.517,0.844,48699,1
GO:0050767,"regulation of neurogenesis",0.146%,null,null,4.272,-6.3251,0.505,0.896,48699,1
GO:0021543,"pallium development",0.029%,null,null,3.564,-3.3258,0.670,0.904,48699,1
GO:0030900,"forebrain development",0.071%,null,null,3.957,-3.7708,0.654,0.939,48699,1
GO:0021537,"telencephalon development",0.044%,null,null,3.750,-2.7953,0.662,0.913,48699,1
GO:0000902,"cell morphogenesis",0.948%,null,null,5.085,-8.1763,0.637,0.835,48699,1
GO:0000904,"cell morphogenesis involved in differentiation",0.188%,null,null,4.382,-9.1211,0.650,0.745,48699,1
GO:0014012,"peripheral nervous system axon regeneration",0.001%,null,null,1.964,-2.7162,0.616,0.769,48699,1
GO:0022008,"neurogenesis",0.423%,null,null,4.735,-13.9842,0.576,0.924,48699,1
GO:0097485,"neuron projection guidance",0.068%,null,null,3.940,-4.1834,0.505,0.843,48699,1
GO:0032989,"cellular component morphogenesis",0.994%,null,null,5.106,-7.6033,0.642,0.886,48699,1
GO:0010975,"regulation of neuron projection development",0.081%,null,null,4.014,-6.1254,0.489,0.930,48699,1
GO:0010977,"negative regulation of neuron projection development",0.021%,null,null,3.435,-2.2466,0.507,0.936,48699,1
GO:0045664,"regulation of neuron differentiation",0.117%,null,null,4.177,-4.9059,0.509,0.956,48699,1
GO:0048812,"neuron projection morphogenesis",0.164%,null,null,4.323,-12.0253,0.547,0.934,48699,1
GO:0030516,"regulation of axon extension",0.017%,null,null,3.327,-3.5474,0.469,0.940,48699,1
GO:0051961,"negative regulation of nervous system development",0.052%,null,null,3.827,-2.9654,0.547,0.902,48699,1
GO:0051962,"positive regulation of nervous system development",0.089%,null,null,4.060,-2.3641,0.530,0.938,48699,1
GO:0051960,"regulation of nervous system development",0.172%,null,null,4.345,-6.5009,0.542,0.855,48699,1
GO:0048858,"cell projection morphogenesis",0.168%,null,null,4.333,-11.5913,0.651,0.990,48699,1
GO:0061564,"axon development",0.129%,null,null,4.217,-13.4143,0.558,0.887,48699,1
GO:0030182,"neuron differentiation",0.334%,null,null,4.632,-14.8187,0.572,0.963,48699,1
GO:0045597,"positive regulation of cell differentiation",0.168%,null,null,4.333,-2.4959,0.578,0.887,48699,1
GO:0045596,"negative regulation of cell differentiation",0.128%,null,null,4.214,-2.1779,0.586,0.874,48699,1
GO:0031175,"neuron projection development",0.220%,null,null,4.451,-14.2190,0.546,0.944,48699,1
GO:0060284,"regulation of cell development",0.174%,null,null,4.350,-5.2958,0.593,0.813,48699,1
GO:0001764,"neuron migration",0.030%,null,null,3.579,-4.0397,0.567,0.792,48699,1
GO:0048667,"cell morphogenesis involved in neuron differentiation",0.148%,null,null,4.278,-11.7881,0.556,0.897,48699,1
GO:0048666,"neuron development",0.270%,null,null,4.539,-16.0432,0.574,0.944,48699,1
GO:0048675,"axon extension",0.025%,null,null,3.503,-4.5013,0.578,0.825,48699,1
GO:1990138,"neuron projection extension",0.034%,null,null,3.634,-3.3510,0.574,0.933,48699,1
GO:0048681,"negative regulation of axon regeneration",0.003%,null,null,2.637,-2.9830,0.508,0.938,48699,1
GO:0048679,"regulation of axon regeneration",0.006%,null,null,2.897,-2.1870,0.507,0.966,48699,1
GO:0070571,"negative regulation of neuron projection regeneration",0.004%,null,null,2.671,-4.9296,0.509,0.834,48699,1
GO:0021762,"substantia nigra development",0.008%,null,null,3.002,-2.5379,0.694,0.712,48699,1
GO:0021761,"limbic system development",0.018%,null,null,3.369,-4.6619,0.678,0.855,48699,1
