term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0005200,"structural constituent of cytoskeleton",0.079%, 0.106,-5.833,4.046,-1.4237,0.985,0.000,5200,0
GO:0005215,"transporter activity",8.494%, 2.777,-7.279,6.078,-4.4220,0.986,0.000,5215,0
GO:0008092,"cytoskeletal protein binding",0.708%, 6.872,-1.021,4.999,-4.4220,0.778,0.000,8092,0
GO:0008443,"phosphofructokinase activity",0.081%,-1.490, 5.912,4.056,-7.5176,0.927,0.000,8443,0
GO:0003872,"6-phosphofructokinase activity",0.054%,null,null,3.883,-7.3699,0.928,0.816,8443,1
GO:0022890,"inorganic cation transmembrane transporter activity",1.904%,-1.630,-7.516,5.428,-6.9104,0.616,0.000,22890,0
GO:0022804,"active transmembrane transporter activity",2.834%,null,null,5.601,-1.5959,0.656,0.709,22890,1
GO:0015075,"ion transmembrane transporter activity",3.726%,null,null,5.720,-4.9027,0.625,0.843,22890,1
GO:0015079,"potassium ion transmembrane transporter activity",0.298%,null,null,4.623,-2.8821,0.655,0.742,22890,1
GO:0015078,"hydrogen ion transmembrane transporter activity",0.926%,null,null,5.115,-2.4201,0.628,0.839,22890,1
GO:0015077,"monovalent inorganic cation transmembrane transporter activity",1.394%,null,null,5.293,-5.6202,0.619,0.881,22890,1
GO:0015081,"sodium ion transmembrane transporter activity",0.220%,null,null,4.492,-1.3342,0.662,0.764,22890,1
GO:0022853,"active ion transmembrane transporter activity",0.923%,null,null,5.114,-2.0954,0.643,0.790,22890,1
GO:0044769,"ATPase activity, coupled to transmembrane movement of ions, rotational mechanism",0.363%,null,null,4.708,-2.0954,0.636,0.894,22890,1
GO:0015399,"primary active transmembrane transporter activity",1.691%,null,null,5.377,-2.9594,0.653,0.783,22890,1
GO:0015662,"ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism",0.128%,null,null,4.254,-3.2351,0.662,0.812,22890,1
GO:0042626,"ATPase activity, coupled to transmembrane movement of substances",1.541%,null,null,5.336,-2.7547,0.627,0.912,22890,1
GO:0042625,"ATPase coupled ion transmembrane transporter activity",0.853%,null,null,5.079,-3.6916,0.612,0.726,22890,1
GO:0008324,"cation transmembrane transporter activity",2.433%,null,null,5.535,-6.0594,0.623,0.825,22890,1
GO:0046873,"metal ion transmembrane transporter activity",0.999%,null,null,5.148,-4.3388,0.630,0.846,22890,1
GO:0019829,"cation-transporting ATPase activity",0.609%,null,null,4.933,-3.1722,0.609,0.941,22890,1
GO:0030235,"nitric-oxide synthase regulator activity",0.001%, 1.373,-0.869,2.097,-2.7142,0.985,0.000,30235,0
GO:0030594,"neurotransmitter receptor activity",0.114%,-5.800,-1.405,4.207,-2.3216,0.889,0.000,30594,0
GO:0004365,"glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity",0.014%,-1.476, 3.873,3.282,-7.5176,0.941,0.018,4365,0
GO:0004332,"fructose-bisphosphate aldolase activity",0.050%,-3.805, 2.440,3.851,-7.3699,0.932,0.019,4332,0
GO:0016860,"intramolecular oxidoreductase activity",0.445%, 0.776, 7.296,4.796,-7.3699,0.902,0.023,16860,0
GO:0008081,"phosphoric diester hydrolase activity",0.301%,-4.010,-4.510,4.628,-2.3110,0.940,0.025,8081,0
GO:0016853,"isomerase activity",2.691%, 1.141,-5.481,5.578,-4.2629,0.965,0.032,16853,0
GO:0042165,"neurotransmitter binding",0.003%,-0.211,-1.504,2.616,-2.2935,0.967,0.034,42165,0
GO:0001540,"beta-amyloid binding",0.007%, 1.757,-3.450,3.006,-2.7284,0.967,0.036,1540,0
GO:0016829,"lyase activity",3.596%,-1.285,-4.127,5.704,-2.7258,0.965,0.041,16829,0
GO:0031420,"alkali metal ion binding",0.091%,-1.471,-0.130,4.108,-2.6596,0.955,0.043,31420,0
GO:0008144,"drug binding",0.178%, 0.896,-2.899,4.400,-1.8884,0.963,0.046,8144,0
GO:0016491,"oxidoreductase activity",12.783%, 0.559, 0.203,6.255,-3.2025,0.963,0.053,16491,0
GO:0016595,"glutamate binding",0.001%,-1.601,-3.300,2.117,-2.4985,0.963,0.078,16595,0
GO:0051287,"NAD binding",0.956%,-2.051,-1.936,5.129,-1.6438,0.956,0.150,51287,0
GO:0004517,"nitric-oxide synthase activity",0.005%, 1.656, 4.167,2.849,-1.3170,0.955,0.191,4517,0
GO:0031402,"sodium ion binding",0.019%,-1.252, 0.586,3.424,-2.7142,0.947,0.203,31402,0
GO:0030955,"potassium ion binding",0.074%,null,null,4.017,-2.4113,0.945,0.886,31402,1
GO:0016208,"AMP binding",0.031%,-2.326,-0.336,3.635,-1.8102,0.953,0.208,16208,0
GO:0016903,"oxidoreductase activity, acting on the aldehyde or oxo group of donors",0.627%, 0.933, 4.136,4.946,-2.0323,0.945,0.257,16903,0
GO:0016772,"transferase activity, transferring phosphorus-containing groups",8.504%,-0.989, 5.860,6.078,-2.0058,0.934,0.257,16772,0
GO:0016972,"thiol oxidase activity",0.015%, 1.107, 3.473,3.332,-1.3845,0.953,0.259,16972,0
GO:0030060,"L-malate dehydrogenase activity",0.037%, 0.178, 3.061,3.719,-1.3845,0.952,0.277,30060,0
GO:0031997,"N-terminal myristoylation domain binding",0.000%, 6.233,-3.148,1.322,-1.5971,0.853,0.324,31997,0
GO:0016774,"phosphotransferase activity, carboxyl group as acceptor",0.204%,-1.542, 5.672,4.458,-2.9914,0.932,0.339,16774,0
GO:0004618,"phosphoglycerate kinase activity",0.045%,-2.987, 5.787,3.799,-3.0418,0.936,0.355,4618,0
GO:0043121,"neurotrophin binding",0.002%, 6.203,-0.089,2.346,-1.3735,0.838,0.373,43121,0
GO:0050998,"nitric-oxide synthase binding",0.002%, 6.755,-2.243,2.378,-2.7493,0.822,0.374,50998,0
GO:0023026,"MHC class II protein complex binding",0.003%, 6.078,-0.718,2.577,-1.9970,0.827,0.386,23026,0
GO:0023023,"MHC protein complex binding",0.003%,null,null,2.638,-1.3845,0.826,0.835,23026,1
GO:0017075,"syntaxin-1 binding",0.003%, 7.715,-2.264,2.627,-1.3095,0.834,0.388,17075,0
GO:0035254,"glutamate receptor binding",0.004%, 6.536,-0.218,2.742,-2.1651,0.822,0.395,35254,0
GO:0019200,"carbohydrate kinase activity",0.251%,-1.988, 5.967,4.547,-5.9638,0.929,0.402,19200,0
GO:0001965,"G-protein alpha-subunit binding",0.005%, 7.682,-2.070,2.854,-2.2935,0.830,0.402,1965,0
GO:0098632,"protein binding involved in cell-cell adhesion",0.005%, 6.974, 0.277,2.859,-1.3991,0.821,0.402,98632,0
GO:0086080,"protein binding involved in heterotypic cell-cell adhesion",0.001%,null,null,2.121,-1.3079,0.833,0.901,98632,1
GO:0001640,"adenylate cyclase inhibiting G-protein coupled glutamate receptor activity",0.001%,-6.347,-1.107,2.127,-2.0419,0.887,0.410,1640,0
GO:0097110,"scaffold protein binding",0.007%, 7.458,-1.960,3.000,-1.5005,0.827,0.411,97110,0
GO:0097718,"disordered domain specific binding",0.009%, 6.308,-0.988,3.086,-2.1441,0.825,0.417,97718,0
GO:0004634,"phosphopyruvate hydratase activity",0.049%,-4.161, 2.237,3.840,-3.0418,0.933,0.422,4634,0
GO:0031800,"type 3 metabotropic glutamate receptor binding",0.000%, 5.611,-0.383,0.602,-1.5971,0.850,0.427,31800,0
GO:0035255,"ionotropic glutamate receptor binding",0.003%,null,null,2.589,-1.3079,0.820,0.785,31800,1
GO:0009678,"hydrogen-translocating pyrophosphatase activity",0.021%,-1.890,-7.011,3.467,-2.8333,0.726,0.429,9678,0
GO:0047485,"protein N-terminus binding",0.016%, 7.777,-1.030,3.345,-1.5167,0.820,0.435,47485,0
GO:0044325,"ion channel binding",0.017%, 7.261,-0.073,3.388,-4.2397,0.819,0.438,44325,0
GO:0001588,"dopamine neurotransmitter receptor activity, coupled via Gs",0.001%,-6.217,-1.214,2.274,-1.9825,0.878,0.441,1588,0
