term_ID,description,frequency,plot_X,plot_Y,plot_size,log10 p-value,uniqueness,dispensability,representative,eliminated
GO:0007610,"behavior",0.170%,-2.499,-1.262,4.338,-3.6082,0.994,0.000,7610,0
GO:0007623,"circadian rhythm",0.057%,-2.229,-3.199,3.862,-2.3973,0.994,0.000,7623,0
GO:0009057,"macromolecule catabolic process",1.953%,-2.124, 6.607,5.399,-8.1490,0.825,0.000,9057,0
GO:0072329,"monocarboxylic acid catabolic process",0.290%,null,null,4.571,-2.5379,0.728,0.879,9057,1
GO:0031331,"positive regulation of cellular catabolic process",0.058%,null,null,3.870,-2.8739,0.646,0.904,9057,1
GO:0031330,"negative regulation of cellular catabolic process",0.021%,null,null,3.421,-1.5444,0.723,0.843,9057,1
GO:0031329,"regulation of cellular catabolic process",0.093%,null,null,4.078,-4.8173,0.700,0.529,9057,1
GO:0016054,"organic acid catabolic process",0.945%,null,null,5.084,-4.0274,0.705,0.924,9057,1
GO:0046395,"carboxylic acid catabolic process",0.945%,null,null,5.084,-4.0274,0.704,0.733,9057,1
GO:0044257,"cellular protein catabolic process",0.772%,null,null,4.996,-3.4094,0.754,0.936,9057,1
GO:0043161,"proteasome-mediated ubiquitin-dependent protein catabolic process",0.226%,null,null,4.462,-2.0617,0.771,0.806,9057,1
GO:1901800,"positive regulation of proteasomal protein catabolic process",0.030%,null,null,3.578,-1.3315,0.622,0.950,9057,1
GO:0044270,"cellular nitrogen compound catabolic process",1.045%,null,null,5.127,-2.8514,0.798,0.741,9057,1
GO:0044265,"cellular macromolecule catabolic process",1.268%,null,null,5.211,-6.7055,0.774,0.707,9057,1
GO:0009062,"fatty acid catabolic process",0.111%,null,null,4.153,-2.5567,0.727,0.805,9057,1
GO:0019941,"modification-dependent protein catabolic process",0.612%,null,null,4.895,-2.4026,0.756,0.985,9057,1
GO:0043632,"modification-dependent macromolecule catabolic process",0.627%,null,null,4.905,-2.6381,0.780,0.817,9057,1
GO:1901565,"organonitrogen compound catabolic process",1.195%,null,null,5.186,-6.2068,0.837,0.702,9057,1
GO:0019395,"fatty acid oxidation",0.086%,null,null,4.041,-1.9355,0.820,0.993,9057,1
GO:0019439,"aromatic compound catabolic process",1.164%,null,null,5.174,-3.3131,0.793,0.750,9057,1
GO:0042176,"regulation of protein catabolic process",0.112%,null,null,4.158,-3.8179,0.671,0.947,9057,1
GO:0061136,"regulation of proteasomal protein catabolic process",0.048%,null,null,3.791,-1.7187,0.663,0.924,9057,1
GO:0010498,"proteasomal protein catabolic process",0.267%,null,null,4.535,-3.8080,0.771,0.750,9057,1
GO:1903364,"positive regulation of cellular protein catabolic process",0.038%,null,null,3.694,-1.3565,0.618,0.952,9057,1
GO:1903362,"regulation of cellular protein catabolic process",0.062%,null,null,3.902,-2.2097,0.660,0.940,9057,1
GO:0030163,"protein catabolic process",0.997%,null,null,5.107,-4.9872,0.799,0.860,9057,1
GO:0046700,"heterocycle catabolic process",1.044%,null,null,5.127,-3.0630,0.795,0.741,9057,1
GO:0006635,"fatty acid beta-oxidation",0.080%,null,null,4.011,-2.3920,0.730,0.905,9057,1
